primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,18430,9395,9035
North American Aboriginal origins,,,910,440,470
North American Aboriginal origins,First Nations (North American Indian),,680,335,345
North American Aboriginal origins,Inuit,,15,0,20
North American Aboriginal origins,Métis,,250,125,120
Other North American origins,,,4960,2555,2405
Other North American origins,Acadian,,135,65,70
Other North American origins,American,,290,145,150
Other North American origins,Canadian,,4625,2370,2255
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,10,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,15,10,10
Other North American origins,Québécois,,55,30,25
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,11950,6040,5910
European origins,British Isles origins,,7950,4060,3890
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,10,0
European origins,British Isles origins,English,4030,2075,1955
European origins,British Isles origins,Irish,3775,1835,1935
European origins,British Isles origins,Manx,0,10,0
European origins,British Isles origins,Scottish,3870,1970,1905
European origins,British Isles origins,Welsh,485,235,250
European origins,British Isles origins,British Isles origins; n.i.e.,800,345,450
European origins,French origins,,3440,1725,1710
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,10,10,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,3435,1725,1710
European origins,Western European origins (except French origins),,2660,1430,1230
European origins,Western European origins (except French origins),Austrian,55,35,15
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,65,25,40
European origins,Western European origins (except French origins),Dutch,620,360,265
European origins,Western European origins (except French origins),Flemish,30,20,10
European origins,Western European origins (except French origins),Frisian,10,0,0
European origins,Western European origins (except French origins),German,1985,1025,960
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,80,35,50
European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,10,0
European origins,Northern European origins (except British Isles origins),,610,300,315
European origins,Northern European origins (except British Isles origins),Danish,155,90,65
European origins,Northern European origins (except British Isles origins),Finnish,85,50,40
European origins,Northern European origins (except British Isles origins),Icelandic,25,0,15
European origins,Northern European origins (except British Isles origins),Norwegian,205,105,105
European origins,Northern European origins (except British Isles origins),Swedish,170,75,100
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,25,15,0
European origins,Eastern European origins,,1980,900,1080
European origins,Eastern European origins,Bulgarian,40,15,25
European origins,Eastern European origins,Byelorussian,10,10,0
European origins,Eastern European origins,Czech,150,65,85
European origins,Eastern European origins,Czechoslovakian; n.o.s.,20,0,15
European origins,Eastern European origins,Estonian,40,15,25
European origins,Eastern European origins,Hungarian,240,105,135
European origins,Eastern European origins,Latvian,40,15,20
European origins,Eastern European origins,Lithuanian,100,50,55
European origins,Eastern European origins,Moldovan,20,10,10
European origins,Eastern European origins,Polish,630,305,320
European origins,Eastern European origins,Romanian,100,40,65
European origins,Eastern European origins,Russian,400,200,200
European origins,Eastern European origins,Slovak,50,15,35
European origins,Eastern European origins,Ukrainian,555,230,325
European origins,Eastern European origins,Eastern European origins; n.i.e.,45,25,20
European origins,Southern European origins,,1675,795,880
European origins,Southern European origins,Albanian,30,25,10
European origins,Southern European origins,Bosnian,20,0,15
European origins,Southern European origins,Catalan,10,0,0
European origins,Southern European origins,Croatian,60,15,45
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,150,70,75
European origins,Southern European origins,Italian,970,460,510
European origins,Southern European origins,Kosovar,10,10,0
European origins,Southern European origins,Macedonian,10,0,10
European origins,Southern European origins,Maltese,20,10,10
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,125,55,70
European origins,Southern European origins,Serbian,55,25,25
European origins,Southern European origins,Sicilian,15,0,15
European origins,Southern European origins,Slovenian,15,10,10
